species,latitude,longitude,year
Streptanthus_tortuosus,37.88,-119.37,1863
Streptanthus_tortuosus,39.31,-120.69,1870
Streptanthus_tortuosus,39.32,-120.38,1881
Streptanthus_tortuosus,37.48,-120.02,1883
Streptanthus_tortuosus,37.98,-119.86,1887
Streptanthus_tortuosus,39.68,-120.66,1889
Streptanthus_tortuosus,38.06,-120.2,1889
Streptanthus_tortuosus,37.6,-119,1891
Streptanthus_tortuosus,38.46,-122.55,1892
Streptanthus_tortuosus,37.58,-119.84,1892
Streptanthus_tortuosus,36.75,-119,1892
Streptanthus_tortuosus,38.46,-122.55,1893
Streptanthus_tortuosus,40.15,-123.39,1893
Streptanthus_tortuosus,40.69,-122.02,1894
Streptanthus_tortuosus,36.18,-118.53,1895
Streptanthus_tortuosus,36.51,-118.8,1895
Streptanthus_tortuosus,38.43,-120.67,1896
Streptanthus_tortuosus,38.59,-120.18,1896
Streptanthus_tortuosus,40.49,-121.5,1897
Streptanthus_tortuosus,38.88,-120.1,1898
Streptanthus_tortuosus,41.58,-121.6,1898
Streptanthus_tortuosus,41.07,-123.8,1899
Streptanthus_tortuosus,41.41,-122.15,1899
Streptanthus_tortuosus,39.36,-120.63,1899
Streptanthus_tortuosus,37.63,-119.09,1899
Streptanthus_tortuosus,41.41,-122.15,1900
Streptanthus_tortuosus,38.88,-120.09,1900
Streptanthus_tortuosus,36.57,-118.77,1900
Streptanthus_tortuosus,36.4,-118.57,1900
Streptanthus_tortuosus,38.28,-120.76,1902
Streptanthus_tortuosus,36.43,-118.58,1902
Streptanthus_tortuosus,39.51,-123.01,1902
Streptanthus_tortuosus,39.3,-120.67,1902
Streptanthus_tortuosus,41.37,-122.23,1902
Streptanthus_tortuosus,41.24,-122.27,1903
Streptanthus_tortuosus,39.32,-120.31,1903
Streptanthus_tortuosus,38.84,-120.16,1903
Streptanthus_tortuosus,38.9,-120.06,1904
Streptanthus_tortuosus,36.4,-118.57,1904
Streptanthus_tortuosus,36.41,-118.57,1904
Streptanthus_tortuosus,36.58,-118.65,1905
Streptanthus_tortuosus,38.89,-120.08,1906
Streptanthus_tortuosus,38.87,-120.1,1907
Streptanthus_tortuosus,37.89,-119.68,1907
Streptanthus_tortuosus,37.85,-119.22,1907
Streptanthus_tortuosus,39.3,-120.55,1908
Streptanthus_tortuosus,39.26,-120.71,1908
Streptanthus_tortuosus,36.6,-118.42,1908
Streptanthus_tortuosus,37.73,-119.5,1909
Streptanthus_tortuosus,37.74,-119.41,1909
Streptanthus_tortuosus,37.78,-119.34,1909
Streptanthus_tortuosus,41.34,-123.01,1909
Streptanthus_tortuosus,38.9,-120.14,1909
Streptanthus_tortuosus,41.55,-122.93,1910
Streptanthus_tortuosus,36.96,-118.64,1910
Streptanthus_tortuosus,37.74,-119.58,1911
Streptanthus_tortuosus,37.75,-119.6,1911
Streptanthus_tortuosus,41.21,-122.27,1911
Streptanthus_tortuosus,37.74,-119.64,1911
Streptanthus_tortuosus,41.37,-122.23,1911
Streptanthus_tortuosus,38.91,-120.1,1911
Streptanthus_tortuosus,41.25,-122.27,1911
Streptanthus_tortuosus,41.27,-122.31,1912
Streptanthus_tortuosus,40.72,-123.95,1912
Streptanthus_tortuosus,40.44,-123.58,1913
Streptanthus_tortuosus,40.33,-123.39,1913
Streptanthus_tortuosus,41.2,-122.38,1913
Streptanthus_tortuosus,40.84,-122.97,1914
Streptanthus_tortuosus,38.86,-120.13,1915
Streptanthus_tortuosus,38.83,-120.03,1915
Streptanthus_tortuosus,37.75,-119.6,1915
Streptanthus_tortuosus,41.39,-122.36,1916
Streptanthus_tortuosus,38.88,-120.11,1916
Streptanthus_tortuosus,37.88,-119.85,1917
Streptanthus_tortuosus,39.31,-120.54,1917
Streptanthus_tortuosus,37.29,-119.1,1917
Streptanthus_tortuosus,36.59,-118.66,1917
Streptanthus_tortuosus,39.56,-120.83,1918
Streptanthus_tortuosus,40.78,-122.22,1918
Streptanthus_tortuosus,37.89,-119.68,1918
Streptanthus_tortuosus,38.88,-120.14,1918
Streptanthus_tortuosus,39.22,-121.06,1919
Streptanthus_tortuosus,37.95,-120.53,1919
Streptanthus_tortuosus,36.67,-118.74,1919
Streptanthus_tortuosus,39.95,-121.27,1920
Streptanthus_tortuosus,38.85,-120.25,1920
Streptanthus_tortuosus,41.58,-121.66,1921
Streptanthus_tortuosus,40.81,-123.47,1922
Streptanthus_tortuosus,37.84,-120.53,1923
Streptanthus_tortuosus,36.87,-119.13,1923
Streptanthus_tortuosus,41.42,-122.39,1923
Streptanthus_tortuosus,40.86,-123.14,1923
Streptanthus_tortuosus,37.82,-120.67,1923
Streptanthus_tortuosus,37.81,-119.57,1923
Streptanthus_tortuosus,37.75,-119.6,1923
Streptanthus_tortuosus,37.54,-119.66,1923
Streptanthus_tortuosus,38.66,-120.12,1923
Streptanthus_tortuosus,38.41,-120.11,1923
Streptanthus_tortuosus,39.68,-120.66,1923
Streptanthus_tortuosus,37.57,-119.51,1924
Streptanthus_tortuosus,37.98,-120.38,1925
Streptanthus_tortuosus,37.77,-119.54,1925
Streptanthus_tortuosus,38.94,-120.13,1925
Streptanthus_tortuosus,38.96,-120.11,1925
Streptanthus_tortuosus,38.91,-120.1,1925
Streptanthus_tortuosus,37.88,-119.85,1925
Streptanthus_tortuosus,40.45,-121.56,1925
Streptanthus_tortuosus,37.9,-119.23,1925
Streptanthus_tortuosus,40.76,-123.99,1926
Streptanthus_tortuosus,38.9,-120.06,1926
Streptanthus_tortuosus,40.73,-123.05,1926
Streptanthus_tortuosus,41.06,-123.77,1926
Streptanthus_tortuosus,39.12,-120.44,1926
Streptanthus_tortuosus,40.87,-123.73,1926
Streptanthus_tortuosus,39.62,-120.66,1926
Streptanthus_tortuosus,40.91,-122.87,1926
Streptanthus_tortuosus,39.99,-121.36,1927
Streptanthus_tortuosus,39.68,-120.69,1927
Streptanthus_tortuosus,37.85,-119.49,1927
Streptanthus_tortuosus,40.76,-123.99,1928
Streptanthus_tortuosus,37.75,-119.59,1928
Streptanthus_tortuosus,37.76,-119.59,1928
Streptanthus_tortuosus,38.91,-120.1,1928
Streptanthus_tortuosus,41.4,-123,1928
Streptanthus_tortuosus,38.66,-120.11,1929
Streptanthus_tortuosus,38.41,-120.08,1929
Streptanthus_tortuosus,37.75,-119.15,1929
Streptanthus_tortuosus,41.38,-123.46,1930
Streptanthus_tortuosus,40.34,-121.94,1930
Streptanthus_tortuosus,38.85,-120.09,1930
Streptanthus_tortuosus,38.83,-120.03,1930
Streptanthus_tortuosus,38.8,-120.02,1930
Streptanthus_tortuosus,38.26,-119.65,1930
Streptanthus_tortuosus,36.42,-118.61,1930
Streptanthus_tortuosus,38.05,-119.27,1930
Streptanthus_tortuosus,37.88,-119.85,1931
Streptanthus_tortuosus,40.61,-123.56,1931
Streptanthus_tortuosus,36.58,-118.67,1931
Streptanthus_tortuosus,39.85,-122.96,1931
Streptanthus_tortuosus,38.9,-120.06,1931
Streptanthus_tortuosus,37.44,-119.57,1931
Streptanthus_tortuosus,36.69,-118.55,1931
Streptanthus_tortuosus,40.94,-123.63,1932
Streptanthus_tortuosus,37.66,-119.92,1932
Streptanthus_tortuosus,38.93,-120.05,1932
Streptanthus_tortuosus,37.87,-119.74,1932
Streptanthus_tortuosus,37.92,-119.26,1932
Streptanthus_tortuosus,41.07,-123.46,1932
Streptanthus_tortuosus,36.59,-118.66,1932
Streptanthus_tortuosus,37.95,-119.3,1932
Streptanthus_tortuosus,36.45,-118.56,1932
Streptanthus_tortuosus,37.6,-119.09,1932
Streptanthus_tortuosus,38.07,-120.35,1933
Streptanthus_tortuosus,40.61,-123.56,1933
Streptanthus_tortuosus,38.61,-119.93,1933
Streptanthus_tortuosus,37.97,-119.27,1933
Streptanthus_tortuosus,41.83,-122.59,1934
Streptanthus_tortuosus,40.76,-122.49,1934
Streptanthus_tortuosus,39.3,-120.63,1934
Streptanthus_tortuosus,40.74,-122.41,1934
Streptanthus_tortuosus,40.77,-123.13,1934
Streptanthus_tortuosus,38.2,-120.01,1934
Streptanthus_tortuosus,38.95,-120.11,1934
Streptanthus_tortuosus,38.89,-120.21,1934
Streptanthus_tortuosus,37.59,-118.86,1934
Streptanthus_tortuosus,39.32,-120.39,1934
Streptanthus_tortuosus,39.68,-120.66,1934
Streptanthus_tortuosus,41.49,-123.52,1934
Streptanthus_tortuosus,41.35,-122.23,1934
Streptanthus_tortuosus,37.83,-119.46,1934
Streptanthus_tortuosus,39.38,-120.37,1934
Streptanthus_tortuosus,38.06,-119.28,1934
Streptanthus_tortuosus,39.7,-120.68,1934
Streptanthus_tortuosus,38.83,-120.12,1934
Streptanthus_tortuosus,37.23,-118.65,1934
Streptanthus_tortuosus,37.69,-119.12,1934
Streptanthus_tortuosus,38.85,-120.24,1934
Streptanthus_tortuosus,37.34,-120.02,1935
Streptanthus_tortuosus,37.35,-120.02,1935
Streptanthus_tortuosus,38.48,-120,1935
Streptanthus_tortuosus,41.4,-122.99,1935
Streptanthus_tortuosus,38.56,-119.81,1935
Streptanthus_tortuosus,37.25,-119.46,1935
Streptanthus_tortuosus,37.36,-118.99,1935
Streptanthus_tortuosus,37.28,-119.18,1935
Streptanthus_tortuosus,41.08,-123.47,1935
Streptanthus_tortuosus,37.74,-119.27,1935
Streptanthus_tortuosus,40.47,-121.52,1935
Streptanthus_tortuosus,38.46,-120,1935
Streptanthus_tortuosus,40.95,-123.23,1935
Streptanthus_tortuosus,37.99,-119.43,1935
Streptanthus_tortuosus,37.82,-119.33,1935
Streptanthus_tortuosus,37.81,-120.3,1936
Streptanthus_tortuosus,37.9,-120.57,1936
Streptanthus_tortuosus,37.91,-120.48,1936
Streptanthus_tortuosus,37.72,-119.69,1936
Streptanthus_tortuosus,37.64,-119.7,1936
Streptanthus_tortuosus,37.72,-119.58,1936
Streptanthus_tortuosus,38.92,-120.42,1936
Streptanthus_tortuosus,38.28,-119.83,1936
Streptanthus_tortuosus,37.76,-119.54,1936
Streptanthus_tortuosus,37.88,-119.35,1936
Streptanthus_tortuosus,38.34,-120.63,1936
Streptanthus_tortuosus,38.21,-119.65,1936
Streptanthus_tortuosus,38.15,-119.74,1936
Streptanthus_tortuosus,36.86,-118.62,1936
Streptanthus_tortuosus,37.05,-118.7,1936
Streptanthus_tortuosus,41.06,-123.77,1937
Streptanthus_tortuosus,37.28,-118.96,1937
Streptanthus_tortuosus,38.07,-120.07,1937
Streptanthus_tortuosus,40.95,-123.45,1937
Streptanthus_tortuosus,41.37,-122.35,1937
Streptanthus_tortuosus,36.71,-118.84,1937
Streptanthus_tortuosus,41.06,-122.93,1937
Streptanthus_tortuosus,40.8,-123.37,1937
Streptanthus_tortuosus,38.09,-119.28,1937
Streptanthus_tortuosus,37.63,-119.03,1937
Streptanthus_tortuosus,36.4,-118.57,1937
Streptanthus_tortuosus,39.59,-121.55,1938
Streptanthus_tortuosus,37.84,-120.34,1938
Streptanthus_tortuosus,35.88,-118.67,1938
Streptanthus_tortuosus,39.56,-120.64,1938
Streptanthus_tortuosus,40.83,-123.71,1938
Streptanthus_tortuosus,41.36,-122.36,1938
Streptanthus_tortuosus,37.52,-119.52,1938
Streptanthus_tortuosus,39.93,-120.89,1938
Streptanthus_tortuosus,38.03,-119.26,1938
Streptanthus_tortuosus,38.33,-119.91,1938
Streptanthus_tortuosus,37.72,-119.58,1938
Streptanthus_tortuosus,37.63,-119.08,1938
Streptanthus_tortuosus,37.85,-119.49,1938
Streptanthus_tortuosus,41.37,-122.23,1938
Streptanthus_tortuosus,41.38,-122.22,1938
Streptanthus_tortuosus,38.88,-120.08,1938
Streptanthus_tortuosus,39.56,-120.83,1939
Streptanthus_tortuosus,40.84,-123.05,1939
Streptanthus_tortuosus,39.83,-121.41,1939
Streptanthus_tortuosus,38.88,-120.08,1939
Streptanthus_tortuosus,37.24,-119.2,1939
Streptanthus_tortuosus,37.54,-119.66,1939
Streptanthus_tortuosus,39.93,-121.07,1940
Streptanthus_tortuosus,39.32,-120.62,1940
Streptanthus_tortuosus,38.03,-120.2,1940
Streptanthus_tortuosus,39.91,-121.33,1940
Streptanthus_tortuosus,41.36,-122.36,1940
Streptanthus_tortuosus,39.32,-120.56,1940
Streptanthus_tortuosus,41.3,-122.16,1940
Streptanthus_tortuosus,41.43,-122.12,1940
Streptanthus_tortuosus,40.76,-123.68,1940
Streptanthus_tortuosus,37.43,-119.59,1940
Streptanthus_tortuosus,37.91,-119.26,1940
Streptanthus_tortuosus,38.14,-119.44,1940
Streptanthus_tortuosus,41.37,-122.23,1940
Streptanthus_tortuosus,40.46,-121.41,1940
Streptanthus_tortuosus,37.85,-119.49,1940
Streptanthus_tortuosus,37.92,-119.27,1940
Streptanthus_tortuosus,37.67,-119.83,1941
Streptanthus_tortuosus,39.76,-120.77,1941
Streptanthus_tortuosus,41.22,-122.38,1941
Streptanthus_tortuosus,39.07,-120.14,1941
Streptanthus_tortuosus,37.71,-119.16,1941
Streptanthus_tortuosus,36.07,-118.53,1941
Streptanthus_tortuosus,37.73,-119.13,1941
Streptanthus_tortuosus,39.92,-121.32,1941
Streptanthus_tortuosus,39.56,-121.55,1942
Streptanthus_tortuosus,41.24,-123.66,1942
Streptanthus_tortuosus,41.71,-123.45,1942
Streptanthus_tortuosus,41.89,-123.8,1942
Streptanthus_tortuosus,40.85,-123.48,1942
Streptanthus_tortuosus,36.46,-118.64,1942
Streptanthus_tortuosus,36.41,-118.45,1942
Streptanthus_tortuosus,36.43,-118.6,1942
Streptanthus_tortuosus,36.49,-118.58,1942
Streptanthus_tortuosus,37.49,-119.5,1942
Streptanthus_tortuosus,36.5,-118.54,1942
Streptanthus_tortuosus,36.56,-118.58,1942
Streptanthus_tortuosus,36.41,-118.57,1942
Streptanthus_tortuosus,37.92,-119.26,1942
Streptanthus_tortuosus,39.32,-120.33,1943
Streptanthus_tortuosus,37.3,-119.18,1943
Streptanthus_tortuosus,39.3,-120.33,1943
Streptanthus_tortuosus,38.84,-120.05,1943
Streptanthus_tortuosus,36.49,-118.58,1943
Streptanthus_tortuosus,36.48,-118.56,1943
Streptanthus_tortuosus,38.91,-120.14,1943
Streptanthus_tortuosus,38.77,-120.71,1944
Streptanthus_tortuosus,38.03,-120.23,1944
Streptanthus_tortuosus,38.7,-120.52,1944
Streptanthus_tortuosus,38.34,-119.83,1944
Streptanthus_tortuosus,39.32,-120.32,1944
Streptanthus_tortuosus,39.07,-120.14,1944
Streptanthus_tortuosus,37.59,-119.02,1944
Streptanthus_tortuosus,37.91,-119.23,1944
Streptanthus_tortuosus,37.88,-119.35,1944
Streptanthus_tortuosus,38.7,-120.52,1945
Streptanthus_tortuosus,37.51,-119.71,1945
Streptanthus_tortuosus,38.32,-119.66,1945
Streptanthus_tortuosus,37.45,-118.78,1946
Streptanthus_tortuosus,37.58,-118.98,1946
Streptanthus_tortuosus,36.4,-118.57,1946
Streptanthus_tortuosus,40.94,-123.39,1946
Streptanthus_tortuosus,39.6,-121.56,1947
Streptanthus_tortuosus,37.75,-119.74,1947
Streptanthus_tortuosus,38.84,-120.07,1947
Streptanthus_tortuosus,40.8,-123.35,1947
Streptanthus_tortuosus,38.67,-119.91,1947
Streptanthus_tortuosus,40.87,-123.73,1947
Streptanthus_tortuosus,37.84,-119.58,1947
Streptanthus_tortuosus,37.96,-119.28,1947
Streptanthus_tortuosus,40.63,-122.28,1948
Streptanthus_tortuosus,41.02,-122.64,1948
Streptanthus_tortuosus,41.39,-122.36,1948
Streptanthus_tortuosus,41.8,-123.38,1948
Streptanthus_tortuosus,39.32,-120.61,1948
Streptanthus_tortuosus,41.14,-122.48,1948
Streptanthus_tortuosus,41.13,-122.55,1948
Streptanthus_tortuosus,41.17,-122.33,1948
Streptanthus_tortuosus,38.46,-122.55,1948
Streptanthus_tortuosus,41.28,-123.45,1948
Streptanthus_tortuosus,40.97,-123.02,1948
Streptanthus_tortuosus,40.47,-121.52,1948
Streptanthus_tortuosus,37.64,-120.15,1948
Streptanthus_tortuosus,37.63,-120.15,1949
Streptanthus_tortuosus,39.6,-121.55,1949
Streptanthus_tortuosus,38.89,-120.03,1949
Streptanthus_tortuosus,39.33,-120.33,1949
Streptanthus_tortuosus,40.86,-123.03,1949
Streptanthus_tortuosus,40.88,-123,1949
Streptanthus_tortuosus,37.27,-119.12,1949
Streptanthus_tortuosus,38.66,-122.82,1949
Streptanthus_tortuosus,40.3,-123.55,1949
Streptanthus_tortuosus,40.33,-123.14,1949
Streptanthus_tortuosus,40.25,-122.9,1949
Streptanthus_tortuosus,40.46,-123.06,1949
Streptanthus_tortuosus,37.3,-119.11,1949
Streptanthus_tortuosus,37.62,-120.14,1950
Streptanthus_tortuosus,40.81,-123.47,1950
Streptanthus_tortuosus,41.78,-122.95,1950
Streptanthus_tortuosus,41.75,-123.49,1950
Streptanthus_tortuosus,40.48,-121.5,1950
Streptanthus_tortuosus,37.19,-118.64,1950
Streptanthus_tortuosus,37.95,-119.28,1950
Streptanthus_tortuosus,40.02,-121.06,1951
Streptanthus_tortuosus,37.3,-119.1,1951
Streptanthus_tortuosus,37.65,-119.08,1951
Streptanthus_tortuosus,41.58,-123.14,1951
Streptanthus_tortuosus,37.94,-119.24,1951
Streptanthus_tortuosus,36.43,-118.6,1951
Streptanthus_tortuosus,37.35,-119.24,1951
Streptanthus_tortuosus,40.24,-122.99,1951
Streptanthus_tortuosus,40.17,-123.01,1951
Streptanthus_tortuosus,36.4,-118.56,1951
Streptanthus_tortuosus,40.84,-123.56,1951
Streptanthus_tortuosus,40.03,-122.86,1951
Streptanthus_tortuosus,37.29,-119.1,1951
Streptanthus_tortuosus,37.35,-118.86,1951
Streptanthus_tortuosus,37.54,-119.74,1952
Streptanthus_tortuosus,41.03,-123.16,1952
Streptanthus_tortuosus,40.92,-123.15,1952
Streptanthus_tortuosus,37.18,-118.73,1952
Streptanthus_tortuosus,38.19,-119.99,1952
Streptanthus_tortuosus,37.16,-118.69,1952
Streptanthus_tortuosus,37.16,-119.07,1952
Streptanthus_tortuosus,40.48,-121.5,1952
Streptanthus_tortuosus,37.47,-118.88,1952
Streptanthus_tortuosus,37.97,-119.96,1953
Streptanthus_tortuosus,37.3,-119.11,1953
Streptanthus_tortuosus,37.67,-119.91,1954
Streptanthus_tortuosus,37.46,-119.88,1954
Streptanthus_tortuosus,38.07,-120.2,1954
Streptanthus_tortuosus,38.81,-120.12,1954
Streptanthus_tortuosus,39.82,-122.95,1954
Streptanthus_tortuosus,37.35,-118.84,1954
Streptanthus_tortuosus,37.46,-119.02,1954
Streptanthus_tortuosus,37.97,-119.3,1954
Streptanthus_tortuosus,37.45,-118.98,1954
Streptanthus_tortuosus,36.05,-121.5,1955
Streptanthus_tortuosus,36.06,-121.49,1955
Streptanthus_tortuosus,40,-121.33,1955
Streptanthus_tortuosus,41.32,-122.8,1955
Streptanthus_tortuosus,40.01,-121.11,1955
Streptanthus_tortuosus,41.02,-122.97,1955
Streptanthus_tortuosus,41.6,-121.5,1956
Streptanthus_tortuosus,37.65,-120.15,1956
Streptanthus_tortuosus,38.34,-119.82,1956
Streptanthus_tortuosus,38.42,-120.11,1956
Streptanthus_tortuosus,39.31,-120.32,1956
Streptanthus_tortuosus,36.95,-118.46,1956
Streptanthus_tortuosus,37.75,-119.74,1956
Streptanthus_tortuosus,37.3,-118.85,1956
Streptanthus_tortuosus,37.1,-119.22,1956
Streptanthus_tortuosus,37.76,-119.8,1957
Streptanthus_tortuosus,38.08,-120.41,1957
Streptanthus_tortuosus,40.93,-120.77,1957
Streptanthus_tortuosus,40.45,-121.45,1957
Streptanthus_tortuosus,37.73,-119.09,1957
Streptanthus_tortuosus,37.15,-118.8,1957
Streptanthus_tortuosus,37.1,-118.76,1957
Streptanthus_tortuosus,37.21,-118.8,1957
Streptanthus_tortuosus,37.13,-118.77,1957
Streptanthus_tortuosus,35.7,-121.14,1957
Streptanthus_tortuosus,39.18,-120.86,1958
Streptanthus_tortuosus,38.03,-120.24,1958
Streptanthus_tortuosus,36.05,-121.5,1958
Streptanthus_tortuosus,40.81,-122.32,1958
Streptanthus_tortuosus,41.36,-122.36,1958
Streptanthus_tortuosus,37.72,-119.62,1958
